world_width,world_height,creature_start_x,creature_start_y,initial_facing,start_score,replicate,step,score,creature_x,creature_y,points_matrix
9,9,4,4,E,1000,0,0,1000,4,4,"[[0, 50, -100, 0, 100, 0, 50, 0, 0], [50, 0, 0, 0, 100, 100, 0, -30, 100], [50, -100, -100, 0, -30, 50, 50, 0, 0], [0, 50, -30, 50, 0, 0, -30, -100, -100], [-100, 0, 100, 0, -100, 0, 50, 0, 100], [-30, 0, 0, -30, 0, -30, -30, 100, -100], [100, 100, -30, 0, 0, -100, 0, 100, 0], [50, -30, 50, -100, 0, 50, -30, 50, 100], [0, -30, -30, 100, 0, -100, 50, 0, -30]]"
9,9,4,4,E,1000,0,1,895,4,4,"[[0, 50, -100, 0, 100, 0, 50, 0, 0], [50, 0, 0, 0, 100, 100, 0, -30, 100], [50, -100, -100, 0, -30, 50, 50, 0, 0], [0, 50, -30, 50, 0, 0, -30, -100, -100], [-100, 0, 100, 0, 0, 0, 50, 0, 100], [-30, 0, 0, -30, 0, -30, -30, 100, -100], [100, 100, -30, 0, 0, -100, 0, 100, 0], [50, -30, 50, -100, 0, 50, -30, 50, 100], [0, -30, -30, 100, 0, -100, 50, 0, -30]]"
9,9,4,4,N,1000,1,0,1000,4,4,"[[50, 50, 50, -100, 0, 0, 0, 0, 50], [-30, 0, 0, -30, -100, 0, 0, 0, -30], [-30, 0, -30, 50, 0, -30, 50, -100, 100], [50, 100, 0, -30, -100, 0, -30, 0, -30], [-30, 100, 0, 0, -100, 0, 0, -30, -30], [50, -100, -30, 50, 0, 0, 0, 0, 0], [0, 100, 0, -30, 50, 0, -30, 100, -30], [-30, 100, 0, 50, 0, 50, 50, 50, -30], [0, 0, 100, 0, 100, -30, -30, 0, -100]]"
9,9,4,4,N,1000,1,1,895,4,4,"[[50, 50, 50, -100, 0, 0, 0, 0, 50], [-30, 0, 0, -30, -100, 0, 0, 0, -30], [-30, 0, -30, 50, 0, -30, 50, -100, 100], [50, 100, 0, -30, -100, 0, -30, 0, -30], [-30, 100, 0, 0, 0, 0, 0, -30, -30], [50, -100, -30, 50, 0, 0, 0, 0, 0], [0, 100, 0, -30, 50, 0, -30, 100, -30], [-30, 100, 0, 50, 0, 50, 50, 50, -30], [0, 0, 100, 0, 100, -30, -30, 0, -100]]"
9,9,4,4,W,1000,2,0,1000,4,4,"[[100, -100, -30, 0, -100, 50, 0, 50, -30], [0, 0, 50, 0, 100, 0, -100, 0, -30], [50, 0, -30, 50, 0, 0, -100, 0, 0], [0, -100, 0, -30, -100, 100, 50, 50, 50], [100, 0, 0, 0, 0, 0, 50, 50, -30], [-30, -30, 0, -30, 0, 100, 50, 50, 50], [100, 100, -30, 0, -30, 100, 50, 0, 50], [0, -30, 0, 0, 50, -30, -100, 0, -30], [0, 50, 0, 100, 50, -30, -30, 50, -30]]"
9,9,4,4,W,1000,2,1,990,3,4,"[[100, -100, -30, 0, -100, 50, 0, 50, -30], [0, 0, 50, 0, 100, 0, -100, 0, -30], [50, 0, -30, 50, 0, 0, -100, 0, 0], [0, -100, 0, -30, -100, 100, 50, 50, 50], [100, 0, 0, 0, 0, 0, 50, 50, -30], [-30, -30, 0, -30, 0, 100, 50, 50, 50], [100, 100, -30, 0, -30, 100, 50, 0, 50], [0, -30, 0, 0, 50, -30, -100, 0, -30], [0, 50, 0, 100, 50, -30, -30, 50, -30]]"
9,9,4,4,W,1000,3,0,1000,4,4,"[[-30, 0, 0, -30, 0, 0, -30, -30, 100], [-30, 0, 0, 0, -100, 0, 0, 50, 50], [50, -100, 0, 50, -100, 0, 0, 0, 0], [0, -30, 0, 50, -30, 0, 0, 0, 0], [-30, 0, 0, 0, -100, 0, 0, 50, 50], [50, -30, 0, -100, 50, 100, 0, 0, 100], [50, 0, 50, 0, 0, 50, 0, -30, 50], [0, 0, 0, 0, -30, 0, 0, 100, 0], [-30, 0, 0, 50, 50, 0, -100, 0, -100]]"
9,9,4,4,W,1000,3,1,895,4,4,"[[-30, 0, 0, -30, 0, 0, -30, -30, 100], [-30, 0, 0, 0, -100, 0, 0, 50, 50], [50, -100, 0, 50, -100, 0, 0, 0, 0], [0, -30, 0, 50, -30, 0, 0, 0, 0], [-30, 0, 0, 0, 0, 0, 0, 50, 50], [50, -30, 0, -100, 50, 100, 0, 0, 100], [50, 0, 50, 0, 0, 50, 0, -30, 50], [0, 0, 0, 0, -30, 0, 0, 100, 0], [-30, 0, 0, 50, 50, 0, -100, 0, -100]]"
9,9,4,4,S,1000,4,0,1000,4,4,"[[-30, 50, 100, 0, 0, 0, 50, 50, 0], [50, 0, 0, 0, 0, 100, 0, 100, 0], [0, 0, 50, -100, 50, 0, 0, 0, -30], [50, 100, 0, 50, -100, 0, 0, 0, 100], [0, 0, -100, 0, 0, 0, 0, 0, 50], [0, -30, 100, 0, 0, 50, 100, 0, 100], [50, 0, 0, 100, 0, 0, 0, 0, 100], [50, 0, -30, -30, 50, 0, 50, 0, 0], [0, -100, 50, 50, -100, 100, -100, 50, 0]]"
9,9,4,4,S,1000,4,1,995,4,4,"[[-30, 50, 100, 0, 0, 0, 50, 50, 0], [50, 0, 0, 0, 0, 100, 0, 100, 0], [0, 0, 50, -100, 50, 0, 0, 0, -30], [50, 100, 0, 50, -100, 0, 0, 0, 100], [0, 0, -100, 0, 0, 0, 0, 0, 50], [0, -30, 100, 0, 0, 50, 100, 0, 100], [50, 0, 0, 100, 0, 0, 0, 0, 100], [50, 0, -30, -30, 50, 0, 50, 0, 0], [0, -100, 50, 50, -100, 100, -100, 50, 0]]"
9,9,4,4,N,1000,5,0,1000,4,4,"[[-100, 0, -30, 0, 0, -30, 100, 50, 50], [-30, -100, 0, 0, 50, 0, -30, 0, 50], [-30, 0, 0, 100, 50, -30, 0, -30, 0], [50, 0, -100, -30, 50, -30, -30, 50, -100], [100, 0, 50, 50, 0, 0, 0, 0, 0], [100, 0, 0, 50, -30, -100, 0, 50, -30], [0, 0, 0, 0, 50, 0, 0, 50, -100], [50, 0, 0, 0, 100, 50, 0, 50, 0], [0, 0, -30, 50, 100, 0, 50, 0, 0]]"
